Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Sup. Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOBValueUSD,Total tax (ETB),Total tax (USD)
2017,1,1000 100,71039100,#NAME?,United Kingdom,1,KT,0.02 ,0.01,"54,204.96",2238.31,0,0
2017,4,1000 100,71031000,#NAME?,Ireland,,,0.05 ,0.01,"3,706.81",153.07,0,0
2017,4,1000 100,71031000,#NAME?,Poland,,,0.10 ,0.01,"2,302.37",95.07,0,0
2017,9,1000 100,71031000,#NAME?,Canada,,,0.08 ,0.01,"4,246.14",175.34,0,0
2017,9,1000 100,71031000,#NAME?,Germany,,,0.15 ,0.01,"3,845.12",158.78,0,0
2017,11,1000 100,71031000,#NAME?,United Kingdom,,,0.02 ,0.01,"85,223.33",3519.17,0,0
2017,4,1000 100,71039100,#NAME?,Germany,1,KT,0.11 ,0.02,"1,857.49",76.7,0,0
2017,9,1000 100,71039100,#NAME?,"Taiwan, Province of China",1,KT,0.20 ,0.02,"23,055.18",952.03,0,0
2017,4,1000 100,71031000,#NAME?,United Kingdom,,,0.10 ,0.02,"3,679.37",151.93,0,0
2017,11,1000 100,71031000,#NAME?,Finland,,,0.15 ,0.02,"5,460.10",225.47,0,0
2017,12,1000 100,71031000,#NAME?,France,,,0.11 ,0.03,"35,975.27",1485.54,0,0
2017,11,1000 100,71031000,#NAME?,Sweden,,,0.25 ,0.04,"19,270.82",795.76,0,0
2017,3,1000 100,71031000,#NAME?,Israel,,,0.06 ,0.05,"9,165.40",378.47,0,0
2017,4,1000 100,71031000,#NAME?,Sri Lanka,,,0.07 ,0.05,"11,522.90",475.82,0,0
2017,3,1000 100,39235000,#NAME?,China,"1,970",UN,0.05 ,0.05,450.42,18.6,0,0
2017,12,1000 100,71031000,#NAME?,Israel,,,0.20 ,0.06,"24,711.66",1020.43,0,0
2017,1,1000 100,71031000,#NAME?,Thailand,,,0.65 ,0.08,"118,200.68",4880.92,0,0
2017,9,1000 100,71031000,#NAME?,Sri Lanka,,,0.16 ,0.08,"30,539.98",1261.1,0,0
2017,6,1000 100,71031000,#NAME?,Israel,,,0.25 ,0.1,"18,637.44",769.6,0,0
2017,7,1000 100,71031000,#NAME?,United Kingdom,,,0.30 ,0.1,"46,703.60",1928.55,0,0
2017,9,1000 100,71031000,#NAME?,Denmark,,,0.35 ,0.1,"47,051.40",1942.92,0,0
2017,6,1000 100,71031000,#NAME?,United Kingdom,,,0.27 ,0.11,153.95,6.36,0,0
2017,5,1000 100,71031000,#NAME?,Russian Federation,,,0.25 ,0.12,"10,661.46",440.25,0,0
2017,10,1000 100,71031000,#NAME?,Switzerland,,,0.20 ,0.13,"24,976.60",1031.37,0,0
2017,5,1000 100,71039100,#NAME?,Thailand,1,KT,0.55 ,0.14,"32,870.30",1357.33,0,0
2017,8,1000 100,71031000,#NAME?,Germany,,,0.32 ,0.14,"54,404.73",2246.56,0,0
2017,5,1000 100,71031000,#NAME?,Singapore,,,0.20 ,0.15,"34,765.65",1435.59,0,0
2017,8,1000 100,71039100,#NAME?,Madagascar,1,KT,0.28 ,0.16,"131,369.28",5424.69,0,0
2017,5,1000 100,71031000,#NAME?,Israel,,,0.24 ,0.17,"31,380.09",1295.79,0,0
2017,1,1000 100,71141190,#NAME?,Ukraine,,,0.36 ,0.18,"166,715.04",6884.24,0,0
2017,9,1000 100,71031000,#NAME?,Switzerland,,,0.31 ,0.18,"84,993.84",3509.69,0,0
2017,7,1000 100,71101900,#NAME?,United States,,,0.35 ,0.2,"74,267.07",3066.75,0,0
2017,5,1000 100,71031000,#NAME?,Canada,,,0.30 ,0.2,"138,576.60",5722.31,0,0
2017,11,1000 100,71031000,#NAME?,Zambia,,,0.30 ,0.2,"65,521.20",2705.6,0,0
2017,5,1000 100,71031000,#NAME?,Sri Lanka,,,0.69 ,0.21,"52,066.18",2149.99,0,0
2017,12,1000 100,71031000,#NAME?,Mexico,,,0.50 ,0.21,"8,237.22",340.14,0,0
2017,2,1000 100,71179090,#NAME?,United States,,,0.23 ,0.23,955.87,39.47,0,0
2017,12,1000 100,71031000,#NAME?,United Arab Emirates,,,0.35 ,0.23,"57,331.05",2367.4,0,0
2017,12,1000 100,9012100,"Roasted coffee, not decaffeinated",United Kingdom,,,0.26 ,0.25,411.98,17.01,0,0
2017,12,1000 100,71039100,#NAME?,Thailand,1,KT,0.42 ,0.26,"142,821.12",5897.58,0,0
2017,3,1000 100,71031000,#NAME?,Mexico,,,0.42 ,0.26,"98,528.05",4068.57,0,0
2017,5,1000 100,71031000,#NAME?,Zambia,,,0.32 ,0.26,"72,131.90",2978.58,0,0
2017,11,1000 100,71031000,#NAME?,Australia,,,0.35 ,0.26,"10,647.19",439.66,0,0
2017,3,1000 100,71031000,#NAME?,Djibouti,,,0.32 ,0.27,"49,329.00",2036.97,0,0
2017,11,1000 100,71039100,#NAME?,Thailand,1,KT,0.40 ,0.28,"153,073.20",6320.92,0,0
2017,12,1000 100,71031000,#NAME?,Nigeria,,,0.38 ,0.28,"5,437.66",224.54,0,0
2017,6,1000 100,61099000,#NAME?,France,30,UN,0.36 ,0.3,"12,269.21",506.64,0,0
2017,8,1000 100,71031000,#NAME?,Japan,,,0.50 ,0.31,"88,927.14",3672.11,0,0
2017,9,1000 100,71031000,#NAME?,Israel,,,0.40 ,0.31,"148,615.11",6136.83,0,0
2017,2,1000 100,71179090,#NAME?,Canada,,,0.33 ,0.32,"23,294.25",961.9,0,0
2017,4,1000 100,71039100,#NAME?,Madagascar,1,KT,0.55 ,0.32,"74,596.78",3080.36,0,0
2017,4,1000 100,71031000,#NAME?,France,,,0.41 ,0.33,"7,735.96",319.44,0,0
2017,5,1000 100,71031000,#NAME?,Australia,,,0.47 ,0.33,"91,781.31",3789.97,0,0
2017,12,1000 100,71031000,#NAME?,Switzerland,,,0.58 ,0.34,"8,563.62",353.62,0,0
2017,10,1000 100,71179090,#NAME?,Canada,,,0.37 ,0.35,"28,496.54",1176.72,0,0
2017,3,1000 100,71031000,#NAME?,Sri Lanka,,,0.40 ,0.35,"40,098.62",1655.81,0,0
2017,8,1000 100,71031000,#NAME?,Israel,,,0.54 ,0.35,"100,497.49",4149.89,0,0
2017,11,1000 100,71031000,#NAME?,Sri Lanka,,,1.15 ,0.39,"159,922.84",6603.77,0,0
2017,4,1000 100,71031000,#NAME?,Zambia,,,0.57 ,0.4,"110,566.80",4565.69,0,0
2017,2,1000 100,71101900,#NAME?,United States,,,0.53 ,0.42,"174,048.62",7187.07,0,0
2017,7,1000 100,71031000,#NAME?,Canada,,,0.60 ,0.42,"50,718.97",2094.36,0,0
2017,2,1000 100,71031000,#NAME?,Sri Lanka,,,0.55 ,0.43,"18,705.26",772.41,0,0
2017,6,1000 100,71039100,#NAME?,Thailand,1,KT,0.80 ,0.44,"102,106.84",4216.35,0,0
2017,4,1000 100,71039100,#NAME?,Thailand,1,KT,0.80 ,0.47,"108,081.67",4463.07,0,0
2017,7,1000 100,71031000,#NAME?,Mauritius,,,0.60 ,0.48,"89,913.21",3712.83,0,0
2017,8,1000 100,71031000,#NAME?,France,,,0.60 ,0.5,"1,761.07",72.72,0,0
2017,9,1000 100,71031000,#NAME?,United Arab Emirates,,,0.75 ,0.5,"94,259.20",3892.29,0,0
2017,10,1000 100,71031000,#NAME?,Japan,,,0.66 ,0.5,"142,947.50",5902.8,0,0
2017,8,1000 100,42023190,#NAME?,Japan,13,UN,1.50 ,0.53,"1,520.66",62.79,0,0
2017,3,1000 100,71101900,#NAME?,United States,,,0.65 ,0.57,"238,275.21",9839.21,0,0
2017,5,1000 100,71101900,#NAME?,United States,,,0.70 ,0.57,"222,218.98",9176.19,0,0
2017,10,1000 100,71031000,#NAME?,Kenya,,,0.61 ,0.59,"7,386.40",305.01,0,0
2017,1,1000 100,71031000,#NAME?,Japan,,,0.74 ,0.6,"134,776.42",5565.39,0,0
2017,5,1000 100,8044000,"Avocados, fresh or dried",Kenya,,,5.60 ,0.6,859.22,35.48,0,0
2017,3,1000 100,71031000,#NAME?,Sweden,,,0.90 ,0.62,"138,855.81",5733.84,0,0
2017,10,1000 100,71031000,#NAME?,Zambia,,,0.80 ,0.62,"202,411.89",8358.29,0,0
2017,12,1000 100,71031000,#NAME?,Denmark,,,0.90 ,0.62,"26,359.10",1088.46,0,0
2017,9,1000 100,71101900,#NAME?,United States,,,0.80 ,0.63,"323,386.47",13353.75,0,0
2017,12,1000 100,71031000,#NAME?,Sri Lanka,,,1.10 ,0.65,"240,202.14",9918.78,0,0
2017,2,1000 100,71031000,#NAME?,Japan,,,0.90 ,0.66,"57,646.30",2380.42,0,0
2017,8,1000 100,71031000,#NAME?,Sri Lanka,,,0.95 ,0.67,"237,570.41",9810.11,0,0
2017,3,1000 100,71031000,#NAME?,Germany,,,0.95 ,0.7,"137,629.50",5683.2,0,0
2017,3,1000 100,71031000,#NAME?,Singapore,,,1.20 ,0.75,"105,631.68",4361.9,0,0
2017,4,1000 100,71031000,#NAME?,Japan,,,0.85 ,0.75,"65,104.38",2688.39,0,0
2017,12,1000 100,63029100,"Toilet linen and kitchen linen of cotton, nes",United States,,,1.00 ,0.75,897.58,37.06,0,0
2017,5,1000 100,9012100,"Roasted coffee, not decaffeinated",United States,,,0.78 ,0.75,899.28,37.13,0,0
2017,4,1000 100,71031000,#NAME?,Germany,,,0.88 ,0.76,"175,148.08",7232.47,0,0
2017,10,1000 100,71031000,#NAME?,Singapore,,,1.00 ,0.8,"244,853.10",10110.84,0,0
2017,6,1000 100,71031000,#NAME?,United Arab Emirates,,,1.18 ,0.94,"171,725.14",7091.13,0,0
